Component,Type,Responsibilities,Collaborators
"App","Core","Uygulama başlangıcı, ekran gezintisi yönetimi, global providerlarla sarmalama (DarkMode, Subscription), tab bar gösterimi","HomeScreen;AITeacherScreen;AuthService;DarkModeContext;SubscriptionProvider"
"DarkModeContext","Context","Dark mode state yönetimi ve toggle sağlama","Tüm UI ekranları ve komponentler (useDarkMode kullananlar)"
"SubscriptionContext","Context","Kullanıcı abonelik durumunu çekme, kullanım/limit yönetimi, plan değiştirme, canPerformAction sağlama","IAPService;SubscriptionService;Firestore;UpgradeScreen;PlanTestScreen"
"AuthService / firebaseAuthService","Service","Kayıt, giriş, çıkış, mevcut kullanıcı bilgisini sağlama","Firestore;App;LoginScreen;SignUpScreen;AccountScreen"
"UserService","Service","Kullanıcı profili CRUD işlemleri (Firestore) ve profil güncelleme","AuthService;AccountScreen;Firestore"
"NotesService","Service","Not oluşturma/güncelleme/silme, paylaşma, PDF export tetikleme","HomeScreen;NotesScreen;openaiService;Firestore"
"openaiService","Service","OpenAI çağrılarını/proxy'yi sarmalama, note-processing işlevi","Firebase Functions (openaiProxy);aiTeacherService;HomeScreen"
"aiTeacherService","Service","Kullanıcı mesajlarını alıp bağlam oluşturma, OpenAI (cloud function) ile cevap üretme, hata ve timeout yönetimi","conversationContextService;openaiService;AITeacherScreen;SubscriptionContext"
"conversationContextService","Service","Sohbet bağlamı oluşturma, kullanıcı öğrenme profilini kullanma","aiTeacherService;userLearningProfileService;Firestore"
"userLearningProfileService","Service","Kullanıcının öğrenme profilini oluşturma/okuma ve öneri üretme","conversationContextService;aiTeacherService;Firestore"
"iapService","Service","react-native-iap ile satın alma süreçlerini yönetme (satın al, restore, ürün listesi)","SubscriptionContext;UpgradeScreen;App Stores"
"subscriptionService","Service","Plan türlerini ve limitlerini tanımlama, backend senkronizasyonu","SubscriptionContext;Firestore"
"AITeacherScreen","Screen","Chat UI, mesaj gönderme ve gösterme, dil algılama, limit kontrolü ve modal tetikleme","aiTeacherService;SubscriptionContext;Modal;DarkModeContext"
"HomeScreen","Screen","Not gönderme/AI özetleme UI, hızlı eylemler, processNote tetikleme","openaiService;NotesScreen;SubscriptionContext;DarkModeContext"
"NotesScreen","Screen","Notları listeleme, düzenleme, paylaşma, fotoğraf ekleme, export","NotesService;CameraScreen;openaiService;DarkModeContext"
"AccountScreen","Screen","Profil gösterimi, çıkış, yardım/iletişim, plan bilgisi ve export/delete işlemleri","AuthService;SubscriptionContext;UserService;Modal"
"UpgradeScreen","Screen","Abonelik/planları gösterme, satın alma akışı başlatma, plan faydalarını listeleme","iapService;SubscriptionContext;DarkModeContext"
"Modal","Component","Tekrar kullanılabilir onay/bilgi modalı sağlama (limit, onay, bilgi)","Tüm ekranlar (Account, AITeacher, PlanTest)"
"OnboardingScreen","Screen","İlk kullanım için rehberlik (multi-page), ilk açılış kontrolü","App;AsyncStorage;DarkModeContext"
"LoginScreen","Screen","Email/password ile giriş arayüzü ve hata yönetimi","AuthService;App;DarkModeContext"
"SignUpScreen","Screen","Yeni kullanıcı kaydı formu ve doğrulama","AuthService;App;DarkModeContext"
"PlanTestScreen","Screen","Geliştirici/test amaçlı kullanım testleri, limit increment ve canPerformAction testleri","SubscriptionContext;Modal;DarkModeContext"
"CameraScreen","Screen","Fotoğraf çekme arayüzü (placeholder), fotoğraf ekleme desteği","NotesScreen;Device Camera APIs;DarkModeContext"
"LegalScreen","Screen","Privacy Policy, Terms of Service, Terms of Use, AI Disclaimer sekmeli gösterimi","PrivacyPolicy;TermsOfService;TermsOfUse;AIDisclaimer;DarkModeContext"
